run_id,mode,experiment,priority,description,status,n_splits,params,duration_sec,holdout_n_eval_mean,holdout_n_eval_total,holdout_recall@5_mean,holdout_recall@5_std,holdout_recall@5_se,holdout_recall@5_micro,holdout_recall@10_mean,holdout_recall@10_std,holdout_recall@10_se,holdout_recall@10_micro,holdout_recall@20_mean,holdout_recall@20_std,holdout_recall@20_se,holdout_recall@20_micro,holdout_recall@5_comparison_baseline,holdout_recall@5_delta_vs_baseline,holdout_recall@5_wins_vs_baseline,holdout_recall@5_losses_vs_baseline,holdout_recall@5_ties_vs_baseline,holdout_recall@5_n_compared_vs_baseline
rerank_20260625T195719Z,holdout,candidate_rrf_sparse_deep_legal_lemma_char,P0,No-rerank candidate baseline from rrf_sparse_deep_legal_lemma_char.,ok,1,"{""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""depth"": 100}",14.757720470428467,161.0,161,0.5590062111801242,,,0.5590062111801242,0.6956521739130435,,,0.6956521739130435,0.8136645962732919,,,0.8136645962732919,candidate_rrf_sparse_deep_legal_lemma_char,0.0,0,0,161,161
rerank_20260625T195719Z,holdout,rerank_rrf_sparse_deep_legal_lemma_char_baai_bge_reranker_v2_m3_d20_c2_top2_mean_ce_plus_candidate,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=2, agg=top2_mean, score=ce_plus_candidate.",ok,1,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_baai_bge_reranker_v2_m3_d20_c2_top2_mean_ce_plus_candidate"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""BAAI/bge-reranker-v2-m3"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""top2_mean"", ""score_mode"": ""ce_plus_candidate""}",1158.3209879398346,161.0,161,0.6335403726708074,,,0.6335403726708074,0.7391304347826086,,,0.7391304347826086,0.8136645962732919,,,0.8136645962732919,candidate_rrf_sparse_deep_legal_lemma_char,0.07453416149068323,22,10,129,161
rerank_20260625T195719Z,holdout,candidate_quota_sparse_legal_lemma_char_q10,P0,No-rerank candidate baseline from quota_sparse_legal_lemma_char_q10.,ok,1,"{""candidate_experiment"": ""quota_sparse_legal_lemma_char_q10"", ""depth"": 100}",0.06512641906738281,161.0,161,0.4782608695652174,,,0.4782608695652174,0.6583850931677019,,,0.6583850931677019,0.8198757763975155,,,0.8198757763975155,candidate_rrf_sparse_deep_legal_lemma_char,-0.08074534161490683,6,19,136,161
rerank_20260625T195719Z,holdout,rerank_quota_sparse_legal_lemma_char_q10_baai_bge_reranker_v2_m3_d20_c2_top2_mean_ce_plus_candidate,P0,"Cross-encoder rerank of quota_sparse_legal_lemma_char_q10: depth=20, chunks=2, agg=top2_mean, score=ce_plus_candidate.",ok,1,"{""name"": ""rerank_quota_sparse_legal_lemma_char_q10_baai_bge_reranker_v2_m3_d20_c2_top2_mean_ce_plus_candidate"", ""candidate_experiment"": ""quota_sparse_legal_lemma_char_q10"", ""model_name"": ""BAAI/bge-reranker-v2-m3"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""top2_mean"", ""score_mode"": ""ce_plus_candidate""}",1137.0615587234497,161.0,161,0.6273291925465838,,,0.6273291925465838,0.7204968944099379,,,0.7204968944099379,0.8198757763975155,,,0.8198757763975155,candidate_rrf_sparse_deep_legal_lemma_char,0.06832298136645963,23,12,126,161
