run_id,timestamp_utc,split,mode,experiment,priority,description,n_eval,status,params,recall@1,recall@5,recall@10,mrr@10,duration_sec
20260624T152250Z,2026-06-24T15:22:50.833706+00:00,holdout,holdout,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,161,ok,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",0.10559006211180125,0.33540372670807456,0.33540372670807456,0.18126293995859208,2.309015
20260624T152250Z,2026-06-24T15:22:53.143311+00:00,holdout,holdout,tfidf_char_doc_3_5,P1,Character n-gram TF-IDF control for Russian morphology and typos.,161,ok,"{'config': {'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 1}}",0.19254658385093168,0.43478260869565216,0.43478260869565216,0.27453416149068327,5.940558
20260624T152250Z,2026-06-24T15:22:59.084258+00:00,holdout,holdout,bm25_doc,P0,BM25 over full documents.,161,ok,"{'config': {'k1': 1.5, 'b': 0.75}}",0.13664596273291926,0.36645962732919257,0.36645962732919257,0.20993788819875778,2.475313
20260624T152250Z,2026-06-24T15:23:01.559944+00:00,holdout,holdout,bm25_field_aware_doc,P1,BM25 over full documents enriched with extracted structural legal fields.,161,ok,"{'config': {'k1': 1.5, 'b': 0.75}}",0.14285714285714285,0.36645962732919257,0.36645962732919257,0.21304347826086958,3.120827
20260624T152250Z,2026-06-24T15:23:04.681217+00:00,holdout,holdout,bm25_chunk_line_10_5_max,P0,BM25 over line-window chunks with max chunk-to-doc aggregation.,161,ok,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 120}",0.13043478260869565,0.37888198757763975,0.37888198757763975,0.2174948240165631,3.475866
20260624T152250Z,2026-06-24T15:23:08.157504+00:00,holdout,holdout,bm25_chunk_line_8_4_top2,P0,Alternative line-window chunks with top-2 mean aggregation.,161,ok,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'top2_mean', 'rank_depth': 120}",0.12422360248447205,0.40372670807453415,0.40372670807453415,0.21935817805383015,3.592495
20260624T152250Z,2026-06-24T15:23:11.750370+00:00,holdout,holdout,rrf_bm25_doc_chunk,P0,RRF fusion of document BM25 and chunk BM25.,161,ok,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max'], 'rrf_k': 60, 'rank_depth': 100}",0.13664596273291926,0.36645962732919257,0.36645962732919257,0.21490683229813665,0.055319
20260624T152250Z,2026-06-24T15:23:11.806068+00:00,holdout,holdout,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,161,ok,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",0.19254658385093168,0.43478260869565216,0.43478260869565216,0.2805383022774327,0.131705
20260624T152250Z,2026-06-24T15:23:11.938253+00:00,holdout,holdout,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,161,ok,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",0.19875776397515527,0.4161490683229814,0.4161490683229814,0.27370600414078683,0.07633
