run_id,timestamp_utc,split,mode,experiment,priority,description,params,eval_part,n_eval,status,recall@5,recall@10,recall@20,recall@50,duration_sec
20260624T163054Z,2026-06-24T16:31:41.468412+00:00,fold_0,cv,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.40714285714285714,0.5428571428571428,0.6928571428571428,0.8357142857142857,0.205387
20260624T163054Z,2026-06-24T16:31:41.674112+00:00,fold_0,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.4517857142857143,0.6053571428571428,0.7160714285714286,0.8375,0.213238
20260624T163054Z,2026-06-24T16:31:41.674112+00:00,fold_0,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.40714285714285714,0.55,0.6714285714285714,0.8285714285714286,0.217185
20260624T163054Z,2026-06-24T16:31:41.926133+00:00,fold_1,cv,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",train,560,ok,0.3607142857142857,0.49464285714285716,0.6357142857142857,0.7839285714285714,4.501937
20260624T163054Z,2026-06-24T16:31:41.926133+00:00,fold_1,cv,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",holdout,140,ok,0.2857142857142857,0.4,0.5571428571428572,0.7714285714285715,4.505782
20260624T163054Z,2026-06-24T16:31:46.432164+00:00,fold_1,cv,tfidf_char_doc_3_5,P1,Character n-gram TF-IDF control for Russian morphology and typos.,"{'config': {'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 1}}",train,560,ok,0.41964285714285715,0.5446428571428571,0.6642857142857143,0.8232142857142857,7.987767
20260624T163054Z,2026-06-24T16:31:46.432164+00:00,fold_1,cv,tfidf_char_doc_3_5,P1,Character n-gram TF-IDF control for Russian morphology and typos.,"{'config': {'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 1}}",holdout,140,ok,0.21428571428571427,0.45,0.6071428571428571,0.7857142857142857,7.991378
20260624T163054Z,2026-06-24T16:31:54.423763+00:00,fold_1,cv,bm25_doc,P0,BM25 over full documents.,"{'config': {'k1': 1.5, 'b': 0.75}}",train,560,ok,0.42857142857142855,0.5589285714285714,0.6875,0.8357142857142857,4.806426
20260624T163054Z,2026-06-24T16:31:54.423763+00:00,fold_1,cv,bm25_doc,P0,BM25 over full documents.,"{'config': {'k1': 1.5, 'b': 0.75}}",holdout,140,ok,0.37857142857142856,0.4928571428571429,0.6714285714285714,0.8,4.810474
20260624T163054Z,2026-06-24T16:31:59.234496+00:00,fold_1,cv,bm25_field_aware_doc,P1,BM25 over full documents enriched with extracted structural legal fields.,"{'config': {'k1': 1.5, 'b': 0.75}}",train,560,ok,0.4303571428571429,0.5607142857142857,0.6875,0.8357142857142857,5.733373
20260624T163054Z,2026-06-24T16:31:59.234496+00:00,fold_1,cv,bm25_field_aware_doc,P1,BM25 over full documents enriched with extracted structural legal fields.,"{'config': {'k1': 1.5, 'b': 0.75}}",holdout,140,ok,0.37857142857142856,0.5,0.6714285714285714,0.8,5.737301
20260624T163054Z,2026-06-24T16:32:04.972021+00:00,fold_1,cv,bm25_chunk_line_10_5_max,P0,BM25 over line-window chunks with max chunk-to-doc aggregation.,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 120}",train,560,ok,0.42142857142857143,0.5410714285714285,0.6625,0.8142857142857143,12.056381
